File,Variable ,Code value,Code description
LSD,MODEL,0313,PONTIAC TRANS SPORT
OVB,MKMDLY,0313,PONTIAC TRANS SPORT
LSD,MODEL,0314,INTERNATIONAL SCOUT
OVB,MKMDLY,0314,INTERNATIONAL SCOUT
LSD,MODEL,0315,CHRYSLER ACCLAIM
OVB,MKMDLY,0315,CHRYSLER ACCLAIM
LSD,MODEL,0316,INTERNATIONAL TRAVELALL
OVB,MKMDLY,0316,INTERNATIONAL TRAVELALL
LSD,MODEL,0317,GEO SPECTRUM
OVB,MKMDLY,0317,GEO SPECTRUM
LSD,MODEL,0318,JAGUAR
OVB,MKMDLY,0318,JAGUAR
LSD,MODEL,0318,JAGUAR
LSD,MODEL,0319,JAGUAR E-TYPE
OVB,MKMDLY,0319,JAGUAR E-TYPE
OVB,MKMDLY,032,ASTON MARTIN
LSD,MODEL,0320,EAGLE SUMMIT
OVB,MKMDLY,0320,EAGLE SUMMIT
LSD,MODEL,0321,JAGUAR XJ
OVB,MKMDLY,0321,JAGUAR XJ
LSD,MODEL,0322,JAGUAR XJ12
OVB,MKMDLY,0322,JAGUAR XJ12
LSD,MODEL,0323,JAGUAR XJ6
OVB,MKMDLY,0323,JAGUAR XJ6
LSD,MODEL,0324,JAGUAR XKE
OVB,MKMDLY,0324,JAGUAR XKE
LSD,MODEL,0325,JEEP LA CROSS
OVB,MKMDLY,0325,JEEP LA CROSS
LSD,MODEL,0326,JAGUAR XK-150
OVB,MKMDLY,0326,JAGUAR XK-150
LSD,MODEL,0327,JAGUAR 340
OVB,MKMDLY,0327,JAGUAR 340
LSD,MODEL,0328,GMC ROCKPORT
OVB,MKMDLY,0328,GMC ROCKPORT
LSD,MODEL,0329,JEEP
OVB,MKMDLY,0329,JEEP
OVB,MKMDLY,033,ASTON MARTIN DBS
LSD,MODEL,0330,JEEP CHEROKEE
OVB,MKMDLY,0330,JEEP CHEROKEE
LSD,MODEL,0331,JEEP COMMANDO
OVB,MKMDLY,0331,JEEP COMMANDO
LSD,MODEL,0332,CHEVY 210 [1954]
OVB,MKMDLY,0332,CHEVY 210 [1954]
LSD,MODEL,0333,JEEP JEEPSTER
OVB,MKMDLY,0333,JEEP JEEPSTER
LSD,MODEL,0334,JEEP J10
OVB,MKMDLY,0334,JEEP J10
LSD,MODEL,0335,JEEP J20
OVB,MKMDLY,0335,JEEP J20
LSD,MODEL,0336,JEEP RENEGADE
OVB,MKMDLY,0336,JEEP RENEGADE
LSD,MODEL,0337,FORD COMET
OVB,MKMDLY,0337,FORD COMET
LSD,MODEL,0338,JEEP WAGONEER
OVB,MKMDLY,0338,JEEP WAGONEER
LSD,MODEL,0339,PLYMOUTH COLT
OVB,MKMDLY,0339,PLYMOUTH COLT
OVB,MKMDLY,034,ASTON MARTIN DB-4
LSD,MODEL,0340,JENSEN HEALY
OVB,MKMDLY,0340,JENSEN HEALY
LSD,MODEL,0341,TOYOTA PREVIA
OVB,MKMDLY,0341,TOYOTA PREVIA
LSD,MODEL,0342,LANCIA
OVB,MKMDLY,0342,LANCIA
LSD,MODEL,0343,ACURA VIGOR
OVB,MKMDLY,0343,ACURA VIGOR
OVB,MKMDLY,0344,EAGLE TALON
LSD,MODEL,0344,EAGLE TALON
LSD,MODEL,0345,SATURN-SL-2
OVB,MKMDLY,0345,SATURN-SL-2
LSD,MODEL,0346,SUBARU-LEGACY
OVB,MKMDLY,0346,SUBARU-LEGACY
LSD,MODEL,0347,SUBARU-X-76
OVB,MKMDLY,0347,SUBARU-X-76
LSD,MODEL,0348,MAZDA MINI VAN
OVB,MKMDLY,0348,MAZDA MINI VAN
LSD,MODEL,0349,LINCOLN
OVB,MKMDLY,0349,LINCOLN
OVB,MKMDLY,035,ASTON MARTIN DB-5 (VOLANTE)
LSD,MODEL,0350,LINCOLN CONTINENTAL
OVB,MKMDLY,0350,LINCOLN CONTINENTAL
LSD,MODEL,0351,LINCOLN CONTINENTAL MARK II
OVB,MKMDLY,0351,LINCOLN CONTINENTAL MARK II
LSD,MODEL,0352,LINCOLN CONTINENTAL MARK III
OVB,MKMDLY,0352,LINCOLN CONTINENTAL MARK III
LSD,MODEL,0353,LINCOLN CONTINENTAL MARK IV
OVB,MKMDLY,0353,LINCOLN CONTINENTAL MARK IV
LSD,MODEL,0354,LINCOLN CONTINENTAL MARK V
OVB,MKMDLY,0354,LINCOLN CONTINENTAL MARK V
LSD,MODEL,0355,LINCOLN VERSAILLES
OVB,MKMDLY,0355,LINCOLN VERSAILLES
LSD,MODEL,0356,JEEP    RANGLER
OVB,MKMDLY,0356,JEEP WRANGLER
LSD,MODEL,0357,LOTUS
OVB,MKMDLY,0357,LOTUS
LSD,MODEL,0358,INFINITY-GENERIC BRAND NAME
OVB,MKMDLY,0358,INFINITY-GENERIC BRAND NAME
LSD,MODEL,0358,INFINITY-GENERIC BRAND NAME
OVB,MKMDLY,0359,LEXUS-MODEL-250  (GENERIC)
LSD,MODEL,0359,LEXUS-MODEL-250  (GENERIC)
OVB,MKMDLY,036,ASTON MARTIN DB-6
LSD,MODEL,0360,HYUNDAI SCOUPE
OVB,MKMDLY,0360,HYUNDAI SCOUPE
LSD,MODEL,0361,LOTUS EUROPA
OVB,MKMDLY,0361,LOTUS EUROPA
LSD,MODEL,0362,BUICK ROAD MASTER
OVB,MKMDLY,0362,BUICK ROAD MASTER
LSD,MODEL,0363,FORD FLARESIDE
OVB,MKMDLY,0363,FORD FLARESIDE
LSD,MODEL,0364,VOLKSWAGON CABRIOLET
OVB,MKMDLY,0364,VOLKSWAGON CABRIOLET
LSD,MODEL,0365,MASERATI
OVB,MKMDLY,0365,MASERATI
LSD,MODEL,0366,INFINITY G-20
OVB,MKMDLY,0366,INFINITI G-20
LSD,MODEL,0367,LEXUS RX300
OVB,MKMDLY,0367,LEXUS RX300
LSD,MODEL,0368,LEXUS-400
OVB,MKMDLY,0368,LEXUS-400
LSD,MODEL,0369,OLDSMOBILE ACHIEVA
OVB,MKMDLY,0369,OLDSMOBILE ACHIEVA
OVB,MKMDLY,037,ASTON MARTIN LAGONDA
LSD,MODEL,0370,OLDSMOBILE-BRAVADO
OVB,MKMDLY,0370,OLDSMOBILE-BRAVADO
LSD,MODEL,0371,MAZDA PROTEGE
OVB,MKMDLY,0371,MAZDA PROTEGE
LSD,MODEL,0372,GMC SONOMA
OVB,MKMDLY,0372,GMC SONOMA
LSD,MODEL,0373,SATURN    SL I
OVB,MKMDLY,0373,SATURN    SL I
LSD,MODEL,0373,SATURN    SL I
LSD,MODEL,0374,FORD EXCALIBER
OVB,MKMDLY,0374,FORD EXCALIBER
LSD,MODEL,0375,MAZDA CAPELLA
OVB,MKMDLY,0375,MAZDA CAPELLA
LSD,MODEL,0376,CHEVROLET-TRACKER
OVB,MKMDLY,0376,CHEVROLET-TRACKER
LSD,MODEL,0377,NISSON ALTIMA
OVB,MKMDLY,0377,NISSAN ALTIMA
LSD,MODEL,0378,ACURA RSX
OVB,MKMDLY,0378,ACURA RSX
LSD,MODEL,0379,MAZDA GLC
OVB,MKMDLY,0379,MAZDA GLC
OVB,MKMDLY,038,ASTON MARTIN VANTAGE
LSD,MODEL,0380,MITSUBISHI DIAMANTE
OVB,MKMDLY,0380,MITSUBISHI DIAMANTE
LSD,MODEL,0381,TOYOTA PASEO
OVB,MKMDLY,0381,TOYOTA PASEO
LSD,MODEL,0382,MAZDA RX-2
OVB,MKMDLY,0382,MAZDA RX-2
LSD,MODEL,0383,MAZDA RX-3
OVB,MKMDLY,0383,MAZDA RX-3
LSD,MODEL,0384,MAZDA RX-4
OVB,MKMDLY,0384,MAZDA RX-4
LSD,MODEL,0385,MAZDA RX-7
OVB,MKMDLY,0385,MAZDA RX-7
LSD,MODEL,0386,CHRYSLER CONCORD
OVB,MKMDLY,0386,CHRYSLER CONCORD
LSD,MODEL,0387,MAZDA SAVANNA
OVB,MKMDLY,0387,MAZDA SAVANNA
LSD,MODEL,0388,CHEVROLET TROPHY
OVB,MKMDLY,0388,CHEVROLET TROPHY
LSD,MODEL,0389,DODGE INTREPID
OVB,MKMDLY,0389,DODGE INTREPID
OVB,MKMDLY,039,ASTON MARTIN V-8 COUPE
LSD,MODEL,0390,MAZDA 1800
OVB,MKMDLY,0390,MAZDA 1800
LSD,MODEL,0391,MAZDA 2000
OVB,MKMDLY,0391,MAZDA 2000
LSD,MODEL,0392,MAZDA 616
OVB,MKMDLY,0392,MAZDA 616
LSD,MODEL,0393,JAGUAR S-TYPE
OVB,MKMDLY,0393,JAGUAR S-TYPE
LSD,MODEL,0394,MAZDA 626
OVB,MKMDLY,0394,MAZDA 626
LSD,MODEL,0395,MAZDA 808
OVB,MKMDLY,0395,MAZDA 808
LSD,MODEL,0396,MERCEDES-BENZ
OVB,MKMDLY,0396,MERCEDES-BENZ
LSD,MODEL,0397,ISUZU RODEO
OVB,MKMDLY,0397,ISUZU RODEO
LSD,MODEL,0398,OVERLAND WHIPPET
OVB,MKMDLY,0398,OVERLAND WHIPPET
LSD,MODEL,0399,MERCEDES-BENZ 180
OVB,MKMDLY,0399,MERCEDES-BENZ 180
OPB,ACQUIRMO,04,April
FMLI,APTMENT,04,Apartment of Guest House
FMLI,BUILDING,04,Duplex (detached two unit structure with one common wall between the units)
CLA,CLOTHMOA,04,April
CLD,CLOTHMOD,04,April
TRV,CMBUSY,04,Bus
CRB,CONT_M01,04,April
CRB,CONT_M02,04,April
CRB,CONT_M03,04,April
CRB,CONT_M04,04,March
CNT,CONTMO,04,April
OPI,COOPRG04,04,Management
OPI,COOPSP01,04,Management
OPI,COOPSP02,04,Management
OPI,COOPSP03,04,Management
OPI,COOPSP04,04,Management
OPI,COOPSP05,04,Management
OPI,COOPSP06,04,Management
OPI,COOPSP07,04,Management
OPI,COOPSP08,04,Management
OPI,COOPSP09,04,Management
OPI,COOPSP10,04,Management
OPI,COOPSP11,04,Management
CRB,CRMPROPI,04,Property # 4
OPD,DISPMO,04,April
EDA,EDMONTHA,04,April
TRV,EOTRIPMO,04,April
HEL,FRSTPYMG,04,April
MOR,FRSTPYMO,04,April
FRA,FURNMO,04,April
HHP,HHIRPMPD,04,Once a month
FPAR,HSG_UNIT,04,"HU, in rooming house"
INB,INSRPMPD,04,Once a month
FMLI,INTRDVB,04,"$3,000-$3,999"
LSD,LSDENDMO,04,April
FMLI,LUMPSUMB,04,"$3,000 - $3,999"
APA,MAJ_MO,04,April
MDB,MEDPMTMO,04,April
MDC,MEDRMBMO,04,April
APB,MIN_MO,04,April
MIS,MISCMO,04,April
FMLI,NETRENTB,04,"$3,000-$3,999"
FMLI,OCCUCOD1,04,"Administrative support, including clerical"
FMLI,OCCUCOD2,04,"Administrative support, including clerical"
MEMI,OCCUCODE,04,"Administrative support, including clerical"
FMLI,OTHREGB,04,"$3,000-$3,999"
FMLI,OTHRINCB,04,"$3,000 - $3,999"
OVB,PMT1MO,04,April
LSD,PMTMONTH,04,April
FMLI,RETSURVB,04,"$3,000-$3,999"
FMLI,ROYESTB,04,"$3,000-$3,999"
MEMI,SALARYB,04,"$15,000-$19,999"
MEMI,SMPFRMB,04,"$15,000-$19,999"
NTAX,SOI_ST,04,Arkansas
EQB,SRVCMOB,04,April
MEMI,SSIB,04,"$3,000 - $3,999"
FMLI,STATE,04,Arizona
SUB,SUBMO,04,April
CRB,SUPPLYM1,04,April
CRB,SUPPLYM2,04,April
CRB,SUPPLYM3,04,April
CRB,SUPPLYM4,04,April
FPAR,TELSCT04,04,Section 8: Home Furnishings
CRB,TOOL_M01,04,April
CRB,TOOL_M02,04,April
CRB,TOOL_M03,04,April
CRB,TOOL_M04,04,April
HHM,TRIRPMPD,04,Once a month
FMLI,UNISTRQ,04,"One, attached"
OVC,VDISPMO,04,April
OVB,VEHICYR,04,1980-1982
OVB,VEHPURMO,04,April
MCHI,VISIT_MO,04,April
VLR,VOPMO_C,04,April
VEQ,VOPMOA,04,April
UTC,WHATPROP,04,Property # 4
FMLI,INCLASS,04,"$15,000 to $19,999"
IHD,ENROLLMO,04,April
IHB,HHIRPMPD,04,Once a month
UTI,INTMO,04,April
FPAR,RECSEC04,04,Section 8 Home Furnishings
FMLI,ALIOTHB,04,"$3,000 - $3,999"
FMLI,CHDLMPB,04,"$3,000 - $3,999"
FMLI,CHDOTHB,04,"$3,000 - $3,999"
FMLI,CHGST_SP,04,Section 4 Utilities and Fuels for owned and rented properties
FMLI,COMPENSB,04,"$3,000-$3,999"
MEMI,EDUCA,04,4th grade
IHB,HHIRPMPD,04,Quarterly
FMLI,INCLOSAB,04,"$3,000-$3,999"
FMLI,INCLOSBB,04,"$3,000-$3,999"
FMLI,INTEARNB,04,"$3,000 - $3,999"
FMLI,PENSIONB,04,"$3,000 - $3,999"
FMLI,SALEINCB,04,"$3,000 - $3,999"
FMLI,UNEMPLB,04,"$3,000 - $3,999"
FMLI,WATERHT,04,Other – specify
FMLI,WELFAREB,04,"$3,000 - $3,999"
TRV,CMBUSY,04,The trip included a bus.
OPI,COOPRG04,04,Coop fee includes management
APL,MAJCODE,04,Other cooking stove
CLB,CLOTHMOB,04,April
CRB,CRMPROPI,04,Property # 4
FMLI,LOT_SIZE,04,1/2 acre
CLC,SEWINGMO,04,April
EQD,SRVCMOD,04,April
FMLI,BUILT,04,1975-1979
FMLI,BUILDING,04,Duplex (detached two unit structure with one common wall between the units)
MEMI,EDUCA,04,4th grade
FMLI,FUEL_OIL,04,Fuel oil
FMLI,GREENHSE,04,Greenhouse
FMLI,INCLASS,04,"$15,000 to $19,999"
FMLI,OCCUPRE1,04,"Farming, forestry, and fishing"
FMLI,OCCUPRE2,04,"Farming, forestry, and fishing"
MEMI,OCCUPREV,04,"Farming, forestry, and fishing"
FMLI,QPREVIN1,04,"Transportation, communications and other public utilities"
FMLI,QPREVIN2,04,"Transportation, communications and other public utilities"
MEMI,QPREVIND,04,"Transportation, communications and other public utilities"
FMLI,STORIES,04,2-1/2 stories
FMLI,WALLFURN,04,"Floor, wall or pipeless furnace"
FMLI,FUEL_OIL,04,Fuel oil
FMLI,BUILT,04,1978
FMLI,BUILDING,04,Duplex (detached two unit structure with one common wall between the units)
FMLI,BUILT,04,1976
MEMI,EDUCA,04,4th grade
FMLI,FUEL_OIL,04,Fuel oil
FMLI,HEATFUEL,04,Fuel oil
FMLI,LOT_SIZE,04,1/2 acre
MEMI,OCCUCURR,04,"Farming, forestry, and fishing"
FMLI,OCCUPRE1,04,"Farming, forestry, and fishing"
FMLI,OCCUPRE2,04,"Farming, forestry, and fishing"
MEMI,OCCUPREV,04,"Farming, forestry, and fishing"
FMLI,POCC_REF,04,"Farming, forestry, and fishing"
FMLI,QCURRIN1,04,"Transportation, communications and other public utilities"
FMLI,QCURRIN2,04,"Transportation, communications and other public utilities"
MEMI,QCURRIND,04,"Transportation, communications and other public utilities"
MEMI,QCURROCC,04,"Farming, forestry, and fishing"
FMLI,QPREVIN1,04,"Transportation, communications and other public utilities"
FMLI,QPREVIN2,04,"Transportation, communications and other public utilities"
MEMI,QPREVIND,04,"Transportation, communications and other public utilities"
FMLI,QPREVOC2,04,"Farming, forestry, and fishing"
MEMI,QPREVOCC,04,"Farming, forestry, and fishing"
FMLI,STORIES,04,2-1/2 stories
FMLI,WALLFURN,04,"Floor, wall or pipeless furnace"
FMLI,WATERHT,04,Other – specify
TRB,EOTRIPMO,04,April
TRB,MAINMD,04,Rented vehicle
APA,MAJ_MO,04,April
APL,MAJCODE,04,Other cooking stove
MDB,MEDPMTMO,04,April
MDC,MEDRMBMO,04,April
TRB,MODERNT,04,"Yes, used a rented car"
OVB,PMT1MO,04,April
OVC,VDISPMO,04,April
OVB,VEHPURMO,04,April
OVB,MKMDLY,040,AUDI
LSD,MODEL,0400,MERCEDES-BENZ 190
OVB,MKMDLY,0400,MERCEDES-BENZ 190
LSD,MODEL,0401,DODGE STEALTH
OVB,MKMDLY,0401,DODGE STEALTH
LSD,MODEL,0402,MERCEDES-BENZ 220
OVB,MKMDLY,0402,MERCEDES-BENZ 220
LSD,MODEL,0403,MERCEDES-BENZ 230
OVB,MKMDLY,0403,MERCEDES-BENZ 230
LSD,MODEL,0404,MERCEDES-BENZ 240
OVB,MKMDLY,0404,MERCEDES-BENZ 240
LSD,MODEL,0405,MERCEDES-BENZ 250
OVB,MKMDLY,0405,MERCEDES-BENZ 250
LSD,MODEL,0406,MERCEDES-BENZ 280
OVB,MKMDLY,0406,MERCEDES-BENZ 280
LSD,MODEL,0407,MERCEDES-BENZ 300
OVB,MKMDLY,0407,MERCEDES-BENZ 300
LSD,MODEL,0407,MERCEDES-BENZ 300
LSD,MODEL,0408,MERCEDES-BENZ 450
OVB,MKMDLY,0408,MERCEDES-BENZ 450
LSD,MODEL,0409,HONDA PASSPORT
OVB,MKMDLY,0409,HONDA PASSPORT
OVB,MKMDLY,041,AUDI FOX
LSD,MODEL,0410,INFINITY J 30
OVB,MKMDLY,0410,INFINITI J 30
LSD,MODEL,0411,MERCURY
OVB,MKMDLY,0411,MERCURY
LSD,MODEL,0412,MERCURY BOBCAT
OVB,MKMDLY,0412,MERCURY BOBCAT
LSD,MODEL,0413,MERCURY CALIENTE
OVB,MKMDLY,0413,MERCURY CALIENTE
LSD,MODEL,0414,MERCURY CAPRI
OVB,MKMDLY,0414,MERCURY CAPRI
LSD,MODEL,0415,MERCURY COLONY PARK
OVB,MKMDLY,0415,MERCURY COLONY PARK
LSD,MODEL,0416,MERCURY COMET
OVB,MKMDLY,0416,MERCURY COMET
LSD,MODEL,0417,MERCURY COMMUTER
OVB,MKMDLY,0417,MERCURY COMMUTER
LSD,MODEL,0418,MERCURY COUGAR
OVB,MKMDLY,0418,MERCURY COUGAR
LSD,MODEL,0419,MERCURY COUNTRY CRUISER
OVB,MKMDLY,0419,MERCURY COUNTRY CRUISER
OVB,MKMDLY,042,AUDI 100
LSD,MODEL,0420,MERCURY CYCLONE
OVB,MKMDLY,0420,MERCURY CYCLONE
LSD,MODEL,0421,MERCURY MARAUDER
OVB,MKMDLY,0421,MERCURY MARAUDER
LSD,MODEL,0422,MERCURY MARQUIS
OVB,MKMDLY,0422,MERCURY MARQUIS
LSD,MODEL,0423,MERCURY METEOR
OVB,MKMDLY,0423,MERCURY METEOR
LSD,MODEL,0424,MERCURY MONARCH
OVB,MKMDLY,0424,MERCURY MONARCH
LSD,MODEL,0425,MERCURY MONTCLAIR
OVB,MKMDLY,0425,MERCURY MONTCLAIR
LSD,MODEL,0426,MERCURY MONTEGO
OVB,MKMDLY,0426,MERCURY MONTEGO
LSD,MODEL,0427,MERCURY MONTERAY
OVB,MKMDLY,0427,MERCURY MONTERAY
LSD,MODEL,0428,BUICK REATTA
OVB,MKMDLY,0428,BUICK REATTA
LSD,MODEL,0429,MERCURY VILLAGER
OVB,MKMDLY,0429,MERCURY VILLAGER
OVB,MKMDLY,043,AUDI 50
LSD,MODEL,0430,MERCURY ZEPHYR
OVB,MKMDLY,0430,MERCURY ZEPHYR
LSD,MODEL,0431,MG
OVB,MKMDLY,0431,MG
LSD,MODEL,0432,MG A
OVB,MKMDLY,0432,MG A
LSD,MODEL,0433,MG B
OVB,MKMDLY,0433,MG B
LSD,MODEL,0434,MG BGT
OVB,MKMDLY,0434,MG BGT
LSD,MODEL,0435,LINCOLN MARK VIII
OVB,MKMDLY,0435,LINCOLN MARK VIII
LSD,MODEL,0436,GEO (NO MODEL)
OVB,MKMDLY,0436,GEO (NO MODEL)
LSD,MODEL,0437,PLYMOUTH NEON
OVB,MKMDLY,0437,PLYMOUTH NEON
LSD,MODEL,0438,SATURN
OVB,MKMDLY,0438,SATURN
LSD,MODEL,0439,MG MIDGET
OVB,MKMDLY,0439,MG MIDGET
OVB,MKMDLY,044,AUDI 5000
LSD,MODEL,0440,NASH METROPOLITAN
OVB,MKMDLY,0440,NASH METROPOLITAN
LSD,MODEL,0441,MG TC
OVB,MKMDLY,0441,MG TC
LSD,MODEL,0442,FORD WINDSTAR
OVB,MKMDLY,0442,FORD WINDSTAR
LSD,MODEL,0443,EAGLE VISION
OVB,MKMDLY,0443,EAGLE VISION
LSD,MODEL,0444,NSU SPIDER
OVB,MKMDLY,0444,NSU SPIDER
LSD,MODEL,0445,OLDSMOBILE
OVB,MKMDLY,0445,OLDSMOBILE
LSD,MODEL,0446,OLDSMOBILE CUSTOM CRUISER
OVB,MKMDLY,0446,OLDSMOBILE CUSTOM CRUISER
LSD,MODEL,0447,OLDSMOBILE CUTLASS
OVB,MKMDLY,0447,OLDSMOBILE CUTLASS
LSD,MODEL,0448,OLDSMOBILE DELTA
OVB,MKMDLY,0448,OLDSMOBILE DELTA
LSD,MODEL,0449,OLDSMOBILE DYNAMIC
OVB,MKMDLY,0449,OLDSMOBILE DYNAMIC
OVB,MKMDLY,045,AUDI 80
LSD,MODEL,0450,OLDSMOBILE F-85
OVB,MKMDLY,0450,OLDSMOBILE F-85
LSD,MODEL,0451,BMW M-3
OVB,MKMDLY,0451,BMW M-3
LSD,MODEL,0452,OLDSMOBILE NINETY-EIGHT
OVB,MKMDLY,0452,OLDSMOBILE NINETY-EIGHT
LSD,MODEL,0453,OLDSMOBILE OMEGA
OVB,MKMDLY,0453,OLDSMOBILE OMEGA
LSD,MODEL,0454,OLDSMOBILE ROYALE
OVB,MKMDLY,0454,OLDSMOBILE ROYALE
LSD,MODEL,0454,OLDSMOBILE ROYALE
LSD,MODEL,0455,OLDSMOBILE STARFIRE
OVB,MKMDLY,0455,OLDSMOBILE STARFIRE
LSD,MODEL,0456,OLDSMOBILE TORNADO
OVB,MKMDLY,0456,OLDSMOBILE TORNADO
LSD,MODEL,0457,OLDSMOBILE VISTA CRUISER
OVB,MKMDLY,0457,OLDSMOBILE VISTA CRUISER
LSD,MODEL,0458,OLDSMOBILE 442
OVB,MKMDLY,0458,OLDSMOBILE 442
LSD,MODEL,0459,OPEL
OVB,MKMDLY,0459,OPEL
OVB,MKMDLY,046,AUDI 90
LSD,MODEL,0460,DODGE NEON
OVB,MKMDLY,0460,DODGE NEON
LSD,MODEL,0461,MAZDA B-2600
OVB,MKMDLY,0461,MAZDA B-2600
LSD,MODEL,0462,HONDA DEL SOL
OVB,MKMDLY,0462,HONDA DEL SOL
LSD,MODEL,0463,OPEL KADETT
OVB,MKMDLY,0463,OPEL KADETT
LSD,MODEL,0464,OPEL MANTA
OVB,MKMDLY,0464,OPEL MANTA
LSD,MODEL,0465,SUZUKI SWIFT
OVB,MKMDLY,0465,SUZUKI SWIFT
LSD,MODEL,0466,PEUGEOT
OVB,MKMDLY,0466,PEUGEOT
LSD,MODEL,0467,FORD CONTOUR
OVB,MKMDLY,0467,FORD CONTOUR
LSD,MODEL,0468,DODGE AVENGER
OVB,MKMDLY,0468,DODGE AVENGER
LSD,MODEL,0469,CHRYSLER SEBRING
OVB,MKMDLY,0469,CHRYSLER SEBRING
OVB,MKMDLY,047,AUSTIN
LSD,MODEL,0470,PEUGEOT 403
OVB,MKMDLY,0470,PEUGEOT 403
LSD,MODEL,0471,HONDA ACCENT
OVB,MKMDLY,0471,HYUNDAI ACCENT
LSD,MODEL,0472,PEUGEOT 504
OVB,MKMDLY,0472,PEUGEOT 504
LSD,MODEL,0473,MAZDA PICKUP
OVB,MKMDLY,0473,MAZDA PICKUP
LSD,MODEL,0474,PLYMOUTH
OVB,MKMDLY,0474,PLYMOUTH
LSD,MODEL,0474,PLYMOUTH
LSD,MODEL,0475,PLYMOUTH ARROW
OVB,MKMDLY,0475,PLYMOUTH ARROW
LSD,MODEL,0476,PLYMOUTH BARRACUDA
OVB,MKMDLY,0476,PLYMOUTH BARRACUDA
LSD,MODEL,0477,PLYMOUTH BELVEDERE
OVB,MKMDLY,0477,PLYMOUTH BELVEDERE
LSD,MODEL,0478,PLYMOUTH CRICKET
OVB,MKMDLY,0478,PLYMOUTH CRICKET
LSD,MODEL,0479,PLYMOUTH DUSTER
OVB,MKMDLY,0479,PLYMOUTH DUSTER
OVB,MKMDLY,048,AUSTIN ALLEGRO
LSD,MODEL,0480,PLYMOUTH FURY
OVB,MKMDLY,0480,PLYMOUTH FURY
LSD,MODEL,0481,PLYMOUTH GTX
OVB,MKMDLY,0481,PLYMOUTH GTX
LSD,MODEL,0482,PLYMOUTH HORIZON
OVB,MKMDLY,0482,PLYMOUTH HORIZON
LSD,MODEL,0483,PLYMOUTH ROAD RUNNER
OVB,MKMDLY,0483,PLYMOUTH ROAD RUNNER
LSD,MODEL,0484,PLYMOUTH SAPPORO
OVB,MKMDLY,0484,PLYMOUTH SAPPORO
LSD,MODEL,0485,PLYMOUTH SATELLITE
OVB,MKMDLY,0485,PLYMOUTH SATELLITE
LSD,MODEL,0486,PLYMOUTH SAVOY
OVB,MKMDLY,0486,PLYMOUTH SAVOY
LSD,MODEL,0487,PLYMOUTH SCAMP
OVB,MKMDLY,0487,PLYMOUTH SCAMP
LSD,MODEL,0488,ISUZU PUP
OVB,MKMDLY,0488,ISUZU PUP
LSD,MODEL,0489,NISSAN QUEST MINI VAN
OVB,MKMDLY,0489,NISSAN QUEST MINI VAN
OVB,MKMDLY,049,AUSTIN AMERICA
LSD,MODEL,0490,PLYMOUTH TRAILDUSTER
OVB,MKMDLY,0490,PLYMOUTH TRAILDUSTER
LSD,MODEL,0491,PLYMOUTH VALIANT
OVB,MKMDLY,0491,PLYMOUTH VALIANT
LSD,MODEL,0492,PLYMOUTH VOLARE
OVB,MKMDLY,0492,PLYMOUTH VOLARE
LSD,MODEL,0493,PLYMOUTH VOYAGER
OVB,MKMDLY,0493,PLYMOUTH VOYAGER
LSD,MODEL,0494,PONTIAC
OVB,MKMDLY,0494,PONTIAC
LSD,MODEL,0495,PONTIAC ASTRE
OVB,MKMDLY,0495,PONTIAC ASTRE
LSD,MODEL,0496,PONTIAC BONNEVILLE
OVB,MKMDLY,0496,PONTIAC BONNEVILLE
LSD,MODEL,0497,PONTIAC CATALINA
OVB,MKMDLY,0497,PONTIAC CATALINA
LSD,MODEL,0498,PONTIAC EXECUTIVE
OVB,MKMDLY,0498,PONTIAC EXECUTIVE
LSD,MODEL,0499,PONTIAC FIREBIRD
OVB,MKMDLY,0499,PONTIAC FIREBIRD
OPB,ACQUIRMO,05,May
FMLI,BUILDING,05,3-plex or 4-plex (3 or 4 unit structure with all units occupying the same level or levels)
CLA,CLOTHMOA,05,May
CLD,CLOTHMOD,05,May
TRV,CMSHIPY,05,Ship
FMLI,CNTRALAC,05,Central Air conditioning
CRB,CONT_M01,05,May
CRB,CONT_M02,05,May
CRB,CONT_M03,05,May
CRB,CONT_M04,05,April
CNT,CONTMO,05,May
OPI,COOPRG05,05,Repairs/maintenance
OPI,COOPSP01,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP02,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP03,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP04,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP05,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP06,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP07,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP08,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP09,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP10,05,"Repairs and maintenance, including lawn care and snow removal"
OPI,COOPSP11,05,"Repairs and maintenance, including lawn care and snow removal"
CRB,CRMPROPI,05,Property # 5
OPD,DISPMO,05,May
EDA,EDMONTHA,05,May
TRV,EOTRIPMO,05,May
HEL,FRSTPYMG,05,May
MOR,FRSTPYMO,05,May
FRA,FURNMO,05,May
HHP,HHIRPMPD,05,Every 2 months
FPAR,HSG_UNIT,05,Mobile home or trailer with no permanent room added
